country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Togo,TGO,2024,0.657371172,0.451261853,0.512044815,0.562714157
Turkiye,TUR,2024,0.750732612,0.750732612,0.150426367,0.51732828
Turkiye,TUR,2024,0.846008422,0.845327257,0.272141864,0.706394494
Uganda,UGA,2024,0.70927073,0.253658195,0.656703004,0.677239343
Uganda,UGA,2024,0.857484234,0.316639221,0.817995614,0.819659191
"Venezuela, RB",VEN,2024,0.834452814,0.82880201,0.335635814,0.76505649
"Venezuela, RB",VEN,2024,0.936273698,0.925060583,0.357802323,0.871393188
Viet Nam,VNM,2024,0.673680342,0.664564467,0.361929139,0.592974343
Viet Nam,VNM,2024,0.770134521,0.767535149,0.438613496,0.697342175
Zambia,ZMB,2024,0.694654727,0.205117235,0.66893159,0.675708468
Zambia,ZMB,2024,0.771773541,0.289948,0.726529558,0.739925085
Zimbabwe,ZWE,2024,0.440948466,0.179048109,0.393866302,0.421475138
Zimbabwe,ZWE,2024,0.645784236,0.317247421,0.542776456,0.587392121
Argentina,ARG,2024,0.71270525,0.628094819,0.380175259,0.557659204
Argentina,ARG,2024,0.878591044,0.787895433,0.676699978,0.803814469
Armenia,ARM,2024,0.641156895,0.640128992,0.095462894,0.378535149
Armenia,ARM,2024,0.792587314,0.776173629,0.25849809,0.566499864
Bangladesh,BGD,2024,0.346983767,0.247547099,0.172702328,0.191820096
Bangladesh,BGD,2024,0.584936777,0.474624241,0.269654575,0.293078121
Belize,BLZ,2024,0.603371374,0.58811159,0.061915933,0.302750789
Belize,BLZ,2024,0.72075666,0.718760273,0.176896756,0.499330759
Benin,BEN,2024,0.383279511,0.086317009,0.355371375,0.364545747
Benin,BEN,2024,0.568359972,0.240711831,0.483216417,0.518002748
Bolivia,BOL,2024,0.43736054,0.4080703,0.104013643,0.205782517
Bolivia,BOL,2024,0.610771549,0.575768791,0.230657572,0.379248969
Botswana,BWA,2024,0.490545995,0.298487557,0.392697807,0.444459667
Botswana,BWA,2024,0.788477542,0.581304192,0.689767246,0.727514218
Brazil,BRA,2024,0.776152067,0.767856478,0.348041236,0.53908708
Brazil,BRA,2024,0.91785978,0.909906092,0.725711332,0.812816702
Burkina Faso,BFA,2024,0.409499687,0.222724663,0.295872679,0.306105602
Burkina Faso,BFA,2024,0.555477789,0.198724887,0.498870573,0.505649425
Cambodia,KHM,2024,0.292571991,0.268032429,0.103969747,0.229988483
Cambodia,KHM,2024,0.42581644,0.410702071,0.192479799,0.355912358
Cameroon,CMR,2024,0.424814417,0.118880245,0.378443093,0.384371319
Cameroon,CMR,2024,0.690176059,0.250307293,0.626906768,0.641311921
Chad,TCD,2024,0.106739431,0.064149711,0.065290702,0.079861374
Chad,TCD,2024,0.25403966,0.187861857,0.163354659,0.19408886
Colombia,COL,2024,0.403367888,0.293293755,0.226322851,0.270526576
Colombia,COL,2024,0.667514622,0.515217064,0.487177403,0.569885174
Comoros,COM,2024,0.332710361,0.296846708,0.074463608,0.147186308
